DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--13-36-18,5,0.1195847,1.562537,-0.6434218,0.1005196,1.538823,1.073459,0.4828602,1.340273,0.2227238,0.03911443,0.6931788,0.6527834,-0.303063,0.5972414,0.359028,0.1061081,-0.7093256,-0.112425,0.6857654,-0.07826702,-0.7148152,0.6262053,0.6400754,0.8517545,0.7794448,-0.5202858,0.9447693,0.3387988,0.8642478,0.5374415,0.9846464,0.2724448,0.2475854,0.5935489,0.5889758,-0.8394364,-0.8048266,-0.09507567,0.5249173,0.5874643
2017-28-4--13-36-18,5,0.1271643,1.563902,-0.6458016,0.1020888,1.538646,1.071961,0.4849856,1.338634,0.2219831,0.04305043,0.6944888,0.6519217,-0.3013804,0.5976707,0.3583612,0.1072365,-0.7091315,-0.1161112,0.6866958,-0.08026098,-0.7131096,0.6302369,0.638534,0.8514142,0.7780022,-0.5211822,0.9431988,0.3387008,0.8648627,0.5381591,0.9833564,0.2718325,0.247311,0.5947415,0.5893163,-0.8393962,-0.8045489,-0.09524528,0.5244445,0.5874643
2017-28-4--13-36-18,5,0.1264894,1.560931,-0.6459294,0.105209,1.541664,1.07058,0.486464,1.339183,0.2214634,0.04503541,0.6953212,0.6502973,-0.3026776,0.5988703,0.356968,0.1093397,-0.7085006,-0.1156882,0.6861992,-0.07932098,-0.7137613,0.6303405,0.6389267,0.8490737,0.7787845,-0.5213163,0.9428886,0.3397312,0.8655233,0.5381538,0.9830307,0.2719005,0.2473434,0.5959366,0.5900735,-0.8395934,-0.8043374,-0.09510583,0.5243769,0.5874643
2017-28-4--13-36-18,5,0.1261407,1.55547,-0.6487932,0.1070184,1.53995,1.070778,0.4877468,1.33856,0.2205842,0.04155409,0.6957348,0.6493489,-0.3042572,0.5992718,0.3568839,0.1074441,-0.7084935,-0.1151977,0.6862713,-0.0813228,-0.713546,0.631172,0.6410801,0.8466502,0.7787333,-0.5217422,0.9423955,0.3423232,0.8666269,0.5376927,0.9823633,0.2724376,0.2468122,0.5961293,0.5902719,-0.8391947,-0.8040172,-0.09484205,0.5248749,0.5874643
2017-28-4--13-36-19,5,0.1289008,1.557103,-0.6508803,0.1116012,1.540464,1.072445,0.4899262,1.339108,0.2217521,0.04401807,0.6972392,0.6483025,-0.3026941,0.5986413,0.3554019,0.1082747,-0.7096441,-0.115541,0.6848,-0.08033716,-0.7150141,0.631983,0.6442176,0.8456269,0.7775791,-0.5215841,0.9427981,0.3442972,0.8685616,0.5372398,0.9820009,0.2723787,0.246589,0.5976221,0.5911304,-0.839883,-0.8040152,-0.09517928,0.5248223,0.5874643
2017-28-4--13-36-19,5,0.1289101,1.555982,-0.6466655,0.114301,1.540404,1.071016,0.4915484,1.338701,0.2236142,0.04311789,0.6953242,0.6489355,-0.3058561,0.6006451,0.3550048,0.1064553,-0.7084239,-0.1161675,0.6825992,-0.08097859,-0.7169421,0.6332911,0.6463143,0.8458055,0.7774866,-0.5209516,0.9435499,0.3460015,0.8701316,0.5372571,0.9815398,0.2731101,0.2466917,0.5972428,0.5914171,-0.8394061,-0.8038762,-0.09465573,0.5250194,0.5874643
2017-28-4--13-36-19,5,0.1307572,1.556829,-0.645401,0.118047,1.539101,1.074822,0.4945832,1.338775,0.2267183,0.04371461,0.6951112,0.6488698,-0.3063943,0.5995833,0.3529341,0.1083843,-0.7100636,-0.1168627,0.6806033,-0.07862034,-0.7189862,0.633464,0.6480924,0.8459851,0.7755527,-0.5200605,0.9441774,0.3472426,0.8715081,0.5371148,0.9812486,0.2735075,0.2469423,0.5975143,0.5926926,-0.839216,-0.8042997,-0.09396122,0.5255944,0.5874643
2017-28-4--13-36-19,5,0.1313377,1.558582,-0.6441436,0.123487,1.539654,1.077118,0.4967337,1.338509,0.2278426,0.04385334,0.6948773,0.6495122,-0.3055429,0.5985331,0.3522142,0.1104049,-0.7109951,-0.1180106,0.6803142,-0.07849259,-0.7190862,0.6341699,0.6503113,0.8469366,0.7738705,-0.5195007,0.9437327,0.3491756,0.8725314,0.5370785,0.9807103,0.2722299,0.2474152,0.5991233,0.5931316,-0.8394246,-0.8037859,-0.09540965,0.5243879,0.5874643
2017-28-4--13-36-19,5,0.1344663,1.558544,-0.6439541,0.1252438,1.536823,1.077811,0.4984839,1.337647,0.229059,0.04446507,0.695072,0.6494143,-0.3052194,0.5974048,0.3529497,0.1118592,-0.7113519,-0.1191577,0.6798918,-0.07836086,-0.7193109,0.6366854,0.6510071,0.8466945,0.7710978,-0.5189384,0.9442972,0.3505146,0.8744674,0.5371339,0.980024,0.27264,0.2477452,0.5999572,0.5935868,-0.8393303,-0.8037714,-0.09511082,0.5246213,0.5874643
2017-28-4--13-36-20,5,0.1370908,1.560082,-0.6429273,0.1270578,1.539025,1.076611,0.4993761,1.335928,0.2301949,0.04529304,0.6947687,0.6498078,-0.3049507,0.597447,0.353795,0.1125852,-0.7107819,-0.1223236,0.6787979,-0.08079451,-0.7195434,0.6389755,0.6525698,0.8473465,0.7714878,-0.5185526,0.9445341,0.3521573,0.876393,0.5376111,0.9795784,0.2721168,0.2480942,0.6022861,0.595255,-0.8396851,-0.80349,-0.09578975,0.5242723,0.5874643
2017-28-4--13-36-20,5,0.1386377,1.558976,-0.6436604,0.1291557,1.53958,1.075474,0.5013462,1.335412,0.2303216,0.04579232,0.6952015,0.6491191,-0.3053562,0.597252,0.3539127,0.1149039,-0.710516,-0.123067,0.6774253,-0.08181383,-0.7205942,0.6400366,0.6527326,0.8466007,0.7710142,-0.5190578,0.9440546,0.3512656,0.8789554,0.5381724,0.9800134,0.2725584,0.2476133,0.6036508,0.5953659,-0.8405402,-0.8037454,-0.09526449,0.5246658,0.5874643
2017-28-4--13-36-20,5,0.1414729,1.557564,-0.6440223,0.1313731,1.541168,1.073853,0.5026957,1.335759,0.2301436,0.04374306,0.6946061,0.6495261,-0.3061454,0.5979439,0.3532703,0.1161003,-0.7100592,-0.1225493,0.6774314,-0.08111673,-0.7207555,0.6435851,0.6538256,0.8455405,0.7710454,-0.5191787,0.9436598,0.3522962,0.8810219,0.5383015,0.9790879,0.2729833,0.2474378,0.6058807,0.5961618,-0.8413617,-0.8035515,-0.09492414,0.5251202,0.5874643
2017-28-4--13-36-20,5,0.14342,1.557334,-0.6440355,0.1335908,1.542016,1.073037,0.504961,1.335966,0.2287293,0.04283162,0.6944286,0.6499205,-0.3058395,0.5978226,0.3530662,0.1174716,-0.7100372,-0.1216149,0.6782305,-0.08136766,-0.7201337,0.6453313,0.6545786,0.8457471,0.7712654,-0.5192833,0.9432152,0.3540233,0.8825829,0.5385994,0.9787269,0.2726606,0.247604,0.6065317,0.5962685,-0.8411965,-0.8032181,-0.09512566,0.5252426,0.5874643
