DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--14-37-39,5,-0.0865539,0.2641673,0.5819086,-0.08968587,0.3186626,-0.9626164,0.01084487,0.5433522,-0.1172281,-0.1145624,-0.1750148,-0.008745783,0.9778389,0.0609045,-0.9834527,-0.1298591,0.1106709,0.05331834,0.422011,0.03360938,0.9043972,-0.1505979,-0.2139327,0.2220043,0.2423171,0.2132843,-0.5964464,0.1419905,-0.1657452,-0.06860304,0.1468573,-0.1656992,-0.1963325,-0.02563536,-0.03512429,-0.536993,-0.5659671,-0.3122055,-0.01719288,1
2017-28-4--14-37-39,5,-0.08563406,0.2589747,0.581902,-0.08688703,0.3191439,-0.9631441,0.01286682,0.5417575,-0.1171755,-0.1065638,-0.1711953,-0.01427885,0.9793531,0.05646275,-0.9832937,-0.1340715,0.109409,0.06146951,0.4215352,0.02644224,0.9043398,-0.1514077,-0.2152333,0.2219163,0.2448158,0.2131345,-0.5962992,0.1254096,-0.1783407,-0.09871686,0.1222639,-0.1660087,-0.1976106,-0.02538766,-0.03449244,-0.5367563,-0.5651323,-0.3120604,-0.01668508,1
2017-28-4--14-37-39,5,-0.08184486,0.2563903,0.5823662,-0.08811407,0.3177347,-0.9624563,0.01393949,0.5409616,-0.1170708,-0.1033683,-0.1619128,-0.02008158,0.9811707,0.05332691,-0.9834153,-0.1343703,0.1095227,0.0646972,0.4218397,0.02250774,0.904079,-0.1523742,-0.2175462,0.2204889,0.2448151,0.2129334,-0.5953087,0.1233348,-0.1800529,-0.1005481,0.1226277,-0.1660103,-0.197224,-0.02556062,-0.03371279,-0.5368496,-0.5644829,-0.3117585,-0.01585183,1
2017-28-4--14-37-39,5,-0.07776298,0.2582073,0.5829731,-0.08891585,0.3173572,-0.9620618,0.01497406,0.5399663,-0.1158525,-0.1060288,-0.1561182,-0.02364404,0.9817464,0.05066718,-0.9835387,-0.134488,0.109533,0.06906825,0.4214423,0.02008985,0.9039981,-0.1519116,-0.2185914,0.2203486,0.2454213,0.2138402,-0.5943098,0.1226173,-0.1807884,-0.1009609,0.1228222,-0.1665243,-0.1963668,-0.02537597,-0.03324109,-0.5371912,-0.5645379,-0.3119179,-0.01611154,1
2017-28-4--14-37-39,5,-0.07559243,0.2557716,0.583611,-0.08639723,0.3164673,-0.9616302,0.01720407,0.5392605,-0.1149357,-0.1035661,-0.1548728,-0.02561686,0.982157,0.05006512,-0.983799,-0.1341889,0.1078251,0.07199407,0.4207816,0.01787753,0.904124,-0.150348,-0.2171234,0.2203034,0.2451406,0.2142383,-0.593885,0.1226967,-0.179628,-0.1016358,0.1228236,-0.1663461,-0.1959976,-0.02540883,-0.03368843,-0.537159,-0.564747,-0.3114296,-0.01615085,1
2017-28-4--14-37-40,5,-0.07829384,0.2559361,0.5835858,-0.08411561,0.3192581,-0.9615464,0.01830738,0.5388082,-0.1142809,-0.1036902,-0.158002,-0.02802758,0.9815795,0.05013121,-0.9835093,-0.1371714,0.1066786,0.07395387,0.4189305,0.0163957,0.9048532,-0.1513281,-0.2153676,0.2200472,0.2459468,0.2140815,-0.5943586,0.1235832,-0.1788331,-0.1017604,0.1228141,-0.1657313,-0.1965315,-0.02549823,-0.03367055,-0.5373462,-0.5647318,-0.311392,-0.01627992,1
2017-28-4--14-37-40,5,-0.07987792,0.2545309,0.5838726,-0.07901059,0.3195283,-0.9616039,0.0188821,0.5381404,-0.1133215,-0.1024595,-0.1578566,-0.02944228,0.9816906,0.05100366,-0.9836939,-0.1373104,0.1043591,0.07639898,0.4164638,0.01464948,0.9058182,-0.1521654,-0.2126334,0.2201355,0.2467167,0.2142099,-0.5949618,0.123693,-0.1777746,-0.1015912,0.1226313,-0.1650521,-0.1971039,-0.02487334,-0.03343544,-0.5372868,-0.5646529,-0.311192,-0.0159434,1
2017-28-4--14-37-40,5,-0.08202124,0.2522957,0.584268,-0.07731229,0.3182895,-0.9616528,0.01872337,0.538007,-0.112362,-0.1012359,-0.1589948,-0.02993561,0.981619,0.0496732,-0.9842181,-0.1349933,0.1030735,0.07788838,0.4159423,0.01448998,0.9059334,-0.1531152,-0.2110755,0.2193162,0.2466314,0.2144951,-0.5945018,0.1240378,-0.1778232,-0.1017742,0.1226766,-0.1645202,-0.1969794,-0.02516628,-0.03439638,-0.5371925,-0.5650084,-0.3113152,-0.01595911,1
2017-28-4--14-37-40,5,-0.08302572,0.2501358,0.5848461,-0.07879658,0.3195992,-0.9609386,0.01799956,0.5383052,-0.1114387,-0.0988733,-0.1608536,-0.03004973,0.9815534,0.04896154,-0.9837671,-0.1364627,0.10575,0.07755331,0.4154455,0.01727739,0.9061413,-0.1539753,-0.2114529,0.2187885,0.2470733,0.2149324,-0.5938418,0.1244779,-0.1775965,-0.101513,0.1224294,-0.1643962,-0.1965327,-0.02512969,-0.03430855,-0.5373062,-0.5651189,-0.3113471,-0.01579527,1
2017-28-4--14-37-40,5,-0.07900205,0.249084,0.5851634,-0.07941554,0.3196378,-0.9606354,0.01850901,0.5384902,-0.1112311,-0.09808637,-0.1577544,-0.03407487,0.9820039,0.04432569,-0.9837527,-0.1372572,0.1068946,0.07755864,0.4161543,0.01845051,0.9057924,-0.1522541,-0.2115797,0.2184927,0.2473354,0.2152673,-0.5939631,0.1246576,-0.1775636,-0.1016811,0.1225172,-0.164592,-0.1964843,-0.02500057,-0.03489392,-0.5372926,-0.5655763,-0.31103,-0.01566872,1
2017-28-4--14-37-41,5,-0.07547667,0.2482643,0.5850087,-0.07979859,0.3186417,-0.9607478,0.01988732,0.5383841,-0.1113937,-0.09736118,-0.1545735,-0.03360412,0.9825979,0.04605313,-0.9836481,-0.1363448,0.1082857,0.07739759,0.4167635,0.01795669,0.9055359,-0.1506327,-0.2113365,0.2181582,0.2468009,0.2150641,-0.5936678,0.1247766,-0.1765288,-0.1022956,0.122479,-0.1652955,-0.1964104,-0.02532059,-0.03458381,-0.5373002,-0.5652921,-0.3113657,-0.01613965,1
2017-28-4--14-37-41,5,-0.07414681,0.2511685,0.5851462,-0.07979158,0.3187702,-0.9605945,0.02033083,0.5382632,-0.1110887,-0.1009062,-0.1528057,-0.03333157,0.982526,0.04673314,-0.9835749,-0.1364383,0.1085411,0.0783576,0.4166895,0.01749731,0.9054965,-0.1501335,-0.210089,0.218449,0.2465763,0.215331,-0.5935568,0.1249631,-0.1751712,-0.1024377,0.1223418,-0.1649364,-0.1964024,-0.02517483,-0.03469816,-0.5372428,-0.565534,-0.311136,-0.01591323,1
2017-28-4--14-37-41,5,-0.07210113,0.2495406,0.5850836,-0.07699209,0.3184814,-0.9605531,0.02071331,0.5383154,-0.1107043,-0.1002426,-0.1512281,-0.03167134,0.9828929,0.04700128,-0.9836558,-0.1371053,0.1068385,0.07823898,0.4156554,0.0188937,0.9059538,-0.1488323,-0.2088765,0.2177665,0.2465205,0.2154598,-0.5937051,0.1261971,-0.1746493,-0.1024681,0.122357,-0.165029,-0.1963432,-0.02468127,-0.03371614,-0.5376111,-0.5652691,-0.3109394,-0.01572187,1
