DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-23-41,5,0.5276988,-0.1938124,-0.06158571,-0.04333478,-0.1986631,-0.04935668,0.2405372,0.7328844,-0.05358092,-0.09930107,0.9880035,-0.1102597,-0.04279372,0.07234345,0.9532851,-0.290843,-0.03774123,-0.0846609,0.9638776,-0.1292218,-0.2169663,0.3317458,0.1066599,-0.5834022,-0.5472106,-0.01330136,0.004997902,0.2692597,0.2304943,0.3422046,0.06047571,0.1528202,-0.1224846,0.4822901,0.1001408,0.05461214,0.08242206,0.1149687,0.170554,1
2017-16-5--13-23-41,5,0.5248469,-0.1917218,-0.06359827,-0.05135948,-0.2004496,-0.05560025,0.2319058,0.7304556,-0.05513311,-0.09650055,0.9897915,-0.1032624,-0.01837153,0.07478806,0.9512485,-0.2983177,-0.02323168,-0.08342952,0.9626446,-0.1360877,-0.2187122,0.3296168,0.1028633,-0.5829362,-0.5480309,-0.01712584,0.00425206,0.25587,0.224575,0.3415782,0.06084013,0.15196,-0.1251741,0.469633,0.08520063,0.05351218,0.08315408,0.1174618,0.1630028,1
2017-16-5--13-23-41,5,0.5220482,-0.1885348,-0.06804377,-0.05669357,-0.2052085,-0.05629675,0.2249785,0.729269,-0.05715927,-0.0963286,0.9907743,-0.09526394,-0.003450345,0.07690182,0.9475761,-0.3099925,-0.00950601,-0.08357097,0.9624184,-0.1399516,-0.2172105,0.3282536,0.1004554,-0.5829703,-0.5486868,-0.02255358,0.003375923,0.2436396,0.2202903,0.3416317,0.06111407,0.1504233,-0.1272327,0.4601616,0.07180464,0.05361575,0.08382975,0.1183816,0.1548466,1
2017-16-5--13-23-41,5,0.5176875,-0.1835106,-0.07400341,-0.06084991,-0.2119047,-0.05280944,0.2169172,0.7284648,-0.06014573,-0.09836438,0.9914855,-0.08504865,0.006903201,0.08138345,0.9399328,-0.3314305,0.007545463,-0.08429335,0.9620085,-0.1459263,-0.2148019,0.3270227,0.09748814,-0.5824431,-0.5494244,-0.02690785,0.0008506938,0.2321123,0.2155823,0.3423955,0.06100631,0.1482731,-0.1292788,0.45131,0.05933094,0.05433068,0.08443913,0.1179629,0.1473108,1
2017-16-5--13-23-41,5,0.5124354,-0.1790745,-0.07996076,-0.06375949,-0.2170605,-0.04848618,0.2090585,0.7269957,-0.06351534,-0.09916303,0.9919872,-0.07773608,0.009242122,0.08490713,0.9339554,-0.3461999,0.02576543,-0.08662309,0.9611756,-0.1531623,-0.2125543,0.3257326,0.09507063,-0.581259,-0.5496083,-0.02980369,-0.001240595,0.222064,0.2110158,0.343884,0.06172061,0.1461396,-0.1299352,0.4442042,0.04963985,0.05644761,0.08607092,0.1168406,0.1417016,1
2017-16-5--13-23-41,5,0.5074452,-0.1752336,-0.0849629,-0.06903633,-0.2188661,-0.04443681,0.2006156,0.7254303,-0.06722268,-0.1015043,0.9922307,-0.07120179,0.01028046,0.08183362,0.9304361,-0.3552191,0.03756687,-0.08893403,0.960363,-0.1588549,-0.2110897,0.3251625,0.09320495,-0.5804828,-0.5504305,-0.03241764,-0.002336028,0.2128339,0.2065021,0.3449221,0.06135488,0.144402,-0.1306851,0.4382375,0.0415624,0.05803468,0.08657662,0.1153465,0.1388988,1
2017-16-5--13-23-42,5,0.5026481,-0.1719777,-0.08739973,-0.07347226,-0.2198384,-0.04419619,0.1918604,0.7243498,-0.07090191,-0.1022715,0.9923274,-0.06855292,0.01129255,0.0803997,0.9307929,-0.3547763,0.03597682,-0.09248415,0.958859,-0.1655346,-0.2112686,0.3235036,0.09064917,-0.5798769,-0.551003,-0.03594467,-0.003687731,0.2054242,0.202003,0.3461559,0.0607183,0.1424483,-0.1303637,0.4334622,0.03412684,0.06011667,0.08682352,0.114102,0.1377556,1
2017-16-5--13-23-42,5,0.4946485,-0.1730152,-0.08765183,-0.07700699,-0.2198314,-0.04646321,0.1829744,0.7231784,-0.07403217,-0.1035846,0.9920096,-0.07185741,0.004885458,0.08204789,0.9335766,-0.347642,0.02911784,-0.09685649,0.9564004,-0.1720336,-0.2152247,0.3228337,0.08774747,-0.5781435,-0.5505704,-0.04103009,-0.003397479,0.2004937,0.1968672,0.3477964,0.06131303,0.1404885,-0.1307796,0.4256242,0.03004109,0.06145672,0.08724373,0.1125683,0.1372397,1
2017-16-5--13-23-42,5,0.4884584,-0.1744653,-0.08635827,-0.08284361,-0.2161758,-0.05195718,0.1730775,0.7210386,-0.07667041,-0.1056694,0.9913637,-0.0776151,-0.002823878,0.07318162,0.942633,-0.3255863,0.009013209,-0.1018605,0.952588,-0.1779405,-0.2248062,0.3227151,0.08610491,-0.5766913,-0.5504096,-0.0485757,-0.003767768,0.1975938,0.1908448,0.3490214,0.06116378,0.1390595,-0.1310874,0.4220465,0.02799665,0.06339029,0.0863722,0.1107315,0.137911,1
2017-16-5--13-23-42,5,0.4818653,-0.177365,-0.08428833,-0.08917952,-0.2088915,-0.05778983,0.1633707,0.7181555,-0.07772812,-0.1082857,0.9900238,-0.08785972,-0.02019462,0.05701753,0.9552211,-0.2892815,-0.0248602,-0.107935,0.9468518,-0.1865232,-0.2388114,0.3217366,0.08423094,-0.5757921,-0.5512714,-0.05762391,-0.00290426,0.1961353,0.1849603,0.3494496,0.06092763,0.1381487,-0.1308176,0.4205354,0.02646602,0.06535521,0.085715,0.1081077,0.1422572,1
