DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--11-44-05,5,0.2480057,0.07187486,-0.2248373,0.01813247,0.2844064,-0.5305904,0.123896,0.600124,-0.1554297,-0.3414166,0.9010602,0.1171737,-0.240407,0.2881011,0.7669485,0.4005386,0.4103129,0.03148479,0.870939,-0.4891956,0.03408428,0.2289571,-0.03167581,-0.4715,-0.4869993,0.1181255,0.03017993,0.002971992,0.1393189,0.5006987,0.1824689,0.1849299,-0.05206068,-0.3453863,0.3125973,0.2387977,0.1754124,-0.1879447,0.1267659,1
2017-16-5--11-44-05,5,0.2608384,0.06830084,-0.2125967,-0.02108736,0.1661731,-0.6021842,0.1223733,0.598758,-0.1602385,-0.3447992,0.9100776,0.09512834,-0.2093392,0.314673,0.8279925,0.2756277,0.3734149,0.04641254,0.869511,-0.4886249,0.05515791,0.2265046,-0.02978569,-0.4695164,-0.4870179,0.1227401,0.02282829,-0.01596977,0.1420364,0.5012047,0.1838363,0.1762729,-0.04803665,-0.3256592,0.3010841,0.2397546,0.1817238,-0.2407912,0.149639,1
2017-16-5--11-44-05,5,0.2559747,0.06069338,-0.2004234,-0.07287101,0.002627969,-0.5703138,0.1144658,0.5892166,-0.1684045,-0.3463916,0.9093766,0.07509529,-0.2177331,0.3241949,0.8765187,0.1144684,0.336912,0.04405394,0.8610076,-0.502555,0.06452817,0.2242219,-0.03115492,-0.4688711,-0.4875875,0.1303778,0.03348114,-0.02629803,0.1425802,0.5028381,0.1813833,0.1700911,-0.0392127,-0.3009778,0.2940742,0.202572,0.1896268,-0.2410481,0.1575737,1
2017-16-5--11-44-05,5,0.2554212,0.04834139,-0.1852048,-0.0844846,-0.09895241,-0.4454088,0.1176626,0.5822366,-0.1629059,-0.3437406,0.9017263,0.06429955,-0.2541609,0.3156659,0.8689455,0.01737231,0.3807717,0.02501819,0.8562287,-0.5137737,0.04778293,0.2277422,-0.02642065,-0.4716507,-0.4882711,0.1395448,0.04828272,-0.008755243,0.1535681,0.5040717,0.1777524,0.1772266,-0.02829072,-0.2991659,0.3098631,0.1636673,0.1962228,-0.1733093,0.1624768,1
2017-16-5--11-44-05,5,0.2746419,0.04437315,-0.1736613,-0.06417117,-0.1093688,-0.2874329,0.1477378,0.5910125,-0.1343762,-0.3317975,0.8941039,0.07956991,-0.2900988,0.2732701,0.8606196,-0.00521434,0.4296862,0.0194524,0.8648173,-0.5016429,0.008191124,0.2372324,-0.01591538,-0.4772847,-0.4870303,0.1389372,0.06018182,0.04506015,0.1748791,0.5038242,0.1769834,0.2061736,-0.02131899,-0.3160845,0.3502388,0.1741562,0.1857095,-0.04632804,0.1611609,1
2017-16-5--11-44-06,5,0.2991111,0.04708469,-0.1606608,0.003765043,-0.04769027,-0.1355873,0.2029554,0.6033539,-0.09131956,-0.3135112,0.8847836,0.1113484,-0.3262978,0.2074232,0.8514454,0.0166312,0.4813937,0.01695494,0.8743545,-0.4844803,-0.02226422,0.256804,0.005426315,-0.4795436,-0.4848577,0.1437552,0.0610991,0.1240936,0.2139698,0.5008657,0.1796744,0.2457511,-0.007377461,-0.2967958,0.407416,0.2206467,0.1697685,0.1112038,0.158998,1
2017-16-5--11-44-06,5,0.3397382,0.03711963,-0.1405702,0.1182532,0.1189233,-0.06048266,0.2640616,0.6082605,-0.05301772,-0.2992804,0.8781116,0.1260995,-0.3513549,0.07500651,0.8638027,0.1469834,0.4760408,0.01709154,0.8817388,-0.4700537,-0.03597119,0.2736384,0.02362654,-0.4764149,-0.4792773,0.1629711,0.04982323,0.2090719,0.2463587,0.4941345,0.1793536,0.2849883,0.01104559,-0.2376699,0.4715465,0.2728636,0.1510175,0.2453458,0.1642041,1
2017-16-5--11-44-06,5,0.383359,0.02850103,-0.1348791,0.1110118,0.2668806,-0.08282667,0.3115018,0.6071628,-0.02854604,-0.2708228,0.8856001,0.1259244,-0.3556833,-0.03736556,0.9314497,0.3175578,0.1736731,0.009111214,0.8797557,-0.472686,-0.05015022,0.2964565,0.04480785,-0.472842,-0.4710892,0.1718239,0.03697485,0.2802451,0.2721845,0.4880824,0.1759242,0.3105702,0.03225796,-0.1452248,0.5246563,0.2801554,0.1347114,0.3298463,0.1708968,1
2017-16-5--11-44-06,5,0.4649968,0.05583358,-0.2192653,0.1268399,0.2044455,-0.09529318,0.3627975,0.6149706,-0.018888,-0.4282175,0.8318142,0.2017166,-0.2898711,0.1155184,0.9743531,0.1638955,0.1021272,-0.003231317,0.8927323,-0.4503202,0.01517545,0.3087518,0.06328435,-0.4709426,-0.466135,0.1700754,0.04475281,0.3174148,0.2904981,0.4843611,0.1797476,0.3201355,0.036479,-0.08628718,0.5545923,0.2786112,0.1262084,0.3529057,0.1378013,1
2017-16-5--11-44-06,5,0.5525551,0.03425884,-0.3216774,0.1840325,0.2014539,-0.1012264,0.3959104,0.6137265,-0.02400732,-0.5137697,0.8102391,0.1261038,-0.2522917,0.1157845,0.9651663,0.1595464,0.1720263,0.004982524,0.891737,-0.4500505,0.04727535,0.3174281,0.07282136,-0.472093,-0.4513509,0.1570641,0.004429922,0.3365148,0.3000458,0.4823159,0.1826588,0.3186643,0.03329542,-0.07392476,0.5832266,0.2776438,0.1324617,0.3397455,0.03315568,1
