DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--11-23-45,5,-0.663399,0.3589569,-0.6902712,-0.6251979,-0.1357754,0.1150368,-0.5113989,0.5976716,-0.3535012,0.4103217,0.6015358,0.09074692,-0.679379,-0.0426231,0.591829,-0.5080063,-0.6243808,-0.1604015,0.7038896,-0.3428939,-0.6010279,-0.1919529,-0.2670124,0.1447599,0.09891438,-0.5285832,-0.02570537,-0.423554,-0.1877101,0.0828594,0.3141875,-0.2505335,-0.2435744,-0.3333792,-0.642628,-0.5386051,-0.3011427,-0.2975523,-0.01590791,1
2017-28-4--11-23-45,5,-0.714646,0.3701683,-0.636368,-0.5015427,-0.1717802,0.1432166,-0.5133468,0.5957624,-0.3563338,0.5018793,0.5290713,0.07268348,-0.6803806,-0.1365417,0.53733,-0.5673513,-0.6088886,-0.158357,0.7060133,-0.3469644,-0.5967278,-0.2403819,-0.2390375,0.1175886,0.1085134,-0.5253374,-0.02931606,-0.4134241,-0.1826474,0.0822643,0.3166382,-0.2469968,-0.2482664,-0.3344013,-0.7095653,-0.5380522,-0.08579886,-0.2944657,-0.1316217,1
2017-28-4--11-23-45,5,-0.7587867,0.3619223,-0.5835575,-0.3854535,-0.1909935,0.1311608,-0.5229574,0.6000391,-0.3535555,0.5139463,0.4851983,0.03881484,-0.7063534,-0.2296505,0.49735,-0.599027,-0.5840122,-0.1538449,0.7101449,-0.3341164,-0.6003267,-0.2843111,-0.2034494,0.1053483,0.1244144,-0.5159889,-0.04065956,-0.4124922,-0.1884388,0.07775486,0.3219984,-0.2289681,-0.2483287,-0.3398505,-0.6734439,-0.5357306,-0.06276166,-0.2858434,-0.2730705,1
2017-28-4--11-23-45,5,-0.7461309,0.3352284,-0.6049042,-0.4255763,-0.1918615,0.1072109,-0.5263512,0.6065327,-0.3557536,0.4793485,0.5144973,0.02531553,-0.7105467,-0.2104996,0.523192,-0.5727139,-0.5949444,-0.1459092,0.7177201,-0.3182167,-0.6019356,-0.2689123,-0.1993935,0.1145897,0.1242437,-0.5179629,-0.05428286,-0.4241069,-0.1996274,0.07745206,0.3188474,-0.21906,-0.2527336,-0.349565,-0.6395137,-0.5377214,-0.2326612,-0.2829014,-0.3099202,1
2017-28-4--11-23-46,5,-0.6780396,0.3041503,-0.6789432,-0.5912679,-0.1811223,0.08520116,-0.5290241,0.6094835,-0.3573744,0.427906,0.6134231,0.02428959,-0.663339,-0.1044501,0.5830208,-0.5391718,-0.5987242,-0.1393453,0.719539,-0.3027536,-0.6092509,-0.2104,-0.2526758,0.1400774,0.09868002,-0.5103066,-0.04026658,-0.4465784,-0.2125076,0.08014846,0.3110187,-0.2339616,-0.2555495,-0.3592486,-0.6325859,-0.542397,-0.3725094,-0.2823753,-0.1757364,1
2017-28-4--11-23-46,5,-0.6330162,0.3186355,-0.6878763,-0.7218236,-0.1698172,0.05442779,-0.5471574,0.6068887,-0.3494053,0.4077289,0.630098,0.04800363,-0.6591125,-0.04566836,0.6241152,-0.5093994,-0.5906834,-0.1254876,0.7167111,-0.2998742,-0.6169712,-0.1722164,-0.3359725,0.1564112,0.07952869,-0.4873727,-0.03421154,-0.4531758,-0.2274751,0.07720447,0.3071666,-0.2680089,-0.235134,-0.3527521,-0.6702935,-0.5440131,-0.3100582,-0.2989214,-0.03308241,1
2017-28-4--11-23-46,5,-0.70074,0.3469803,-0.6432883,-0.7136452,-0.1842481,0.05729444,-0.5800697,0.5914932,-0.3272572,0.4509347,0.5688175,0.0532886,-0.6857586,-0.03262665,0.6424928,-0.5236969,-0.5584622,-0.1648885,0.7088846,-0.3113476,-0.6110296,-0.21449,-0.3482031,0.1523288,0.07244909,-0.501266,-0.01470991,-0.4490132,-0.2333415,0.0723176,0.3137701,-0.2626459,-0.2273753,-0.3538043,-0.730687,-0.541814,-0.1379647,-0.301515,-0.07931508,1
2017-28-4--11-23-46,5,-0.7873176,0.3402175,-0.5754541,-0.5825711,-0.2146906,0.08175404,-0.6082914,0.5892777,-0.305613,0.4771563,0.5033022,0.0009789403,-0.720422,-0.1214024,0.6117587,-0.5628526,-0.5424111,-0.1898137,0.6898129,-0.3187938,-0.6216909,-0.2914473,-0.3013941,0.14648,0.08844745,-0.5132999,-0.009935077,-0.4590079,-0.2487667,0.06850958,0.3258262,-0.2174723,-0.2247656,-0.3677976,-0.7159438,-0.541465,-0.184765,-0.2784522,-0.2387516,1
2017-28-4--11-23-46,5,-0.8103237,0.3463914,-0.5309969,-0.4655019,-0.2275043,0.122056,-0.6428715,0.5886494,-0.2889523,0.4527575,0.4927581,0.05653636,-0.7409478,-0.2571872,0.5233817,-0.6169677,-0.5284667,-0.1939134,0.6980131,-0.3189227,-0.6111168,-0.3272536,-0.3019439,0.1216705,0.1143326,-0.472044,-0.007693555,-0.4984204,-0.2862249,0.06598115,0.3194605,-0.217957,-0.1837006,-0.3613548,-0.6203845,-0.5453541,-0.4641576,-0.2827712,-0.2340819,1
2017-28-4--11-23-47,5,-0.8327905,0.3270066,-0.5755913,-0.5844201,-0.2191052,0.1849029,-0.6840916,0.6013471,-0.2656443,0.4585542,0.584142,0.08527235,-0.6642551,-0.2417509,0.5102457,-0.588599,-0.5785819,-0.1542094,0.7270069,-0.2839571,-0.6058456,-0.3600184,-0.3712668,0.1123401,0.1059747,-0.4032994,0.03207845,-0.5841097,-0.3474047,0.06505513,0.3049964,-0.165388,-0.1546166,-0.4390525,-0.5840877,-0.5596455,-0.5265812,-0.2630005,-0.1052744,1
