DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--15-10-37,5,-0.4129406,0.5067227,0.8188512,-0.2948614,0.5134808,-0.9907366,-0.2360699,0.6768247,-0.06641303,-0.2372186,-0.1516574,0.0131928,0.9594547,0.005302875,-0.9688379,-0.2476376,0.0008763014,0.1085411,0.6977795,-0.06278966,0.7052518,-0.4215904,-0.3446305,0.3543562,0.3447232,0.3901705,-0.5388224,-0.204725,-0.4822027,0.0117085,0.3278449,-0.104384,-0.1006664,-0.3426002,-0.2729691,-0.463668,-0.4761062,0.1008444,-0.2803237,1
2017-28-4--15-10-38,5,-0.4035602,0.5027304,0.8196034,-0.2930852,0.5112432,-0.9908556,-0.2305134,0.6757258,-0.06664353,-0.2342049,-0.1486865,0.01042079,0.9606934,0.001397685,-0.9692206,-0.2461902,-0.0002581633,0.1132143,0.6987005,-0.06671271,0.7032421,-0.4141208,-0.3431533,0.3533412,0.3442104,0.3907871,-0.538296,-0.2004866,-0.4780731,0.01165628,0.3288822,-0.10484,-0.09994528,-0.3410671,-0.2732409,-0.4639549,-0.47644,0.1009019,-0.2793626,1
2017-28-4--15-10-38,5,-0.3983608,0.5034947,0.8188613,-0.2882522,0.5104725,-0.9918094,-0.2262448,0.6759483,-0.06819969,-0.2339904,-0.1473958,0.004973046,0.9609882,-0.003451321,-0.9692795,-0.2459252,-0.002475133,0.1139228,0.69934,-0.06738157,0.7024279,-0.409972,-0.3401577,0.354184,0.3439846,0.3898165,-0.539102,-0.1987746,-0.4748552,0.01155102,0.329958,-0.1061552,-0.1003737,-0.3390812,-0.2722993,-0.4634191,-0.4761372,0.1007222,-0.2791316,1
2017-28-4--15-10-38,5,-0.3903207,0.5081522,0.8168408,-0.2808124,0.5121276,-0.9923392,-0.2238323,0.676066,-0.06997419,-0.2393794,-0.1386652,0.00305812,0.9609683,-0.007790756,-0.9684068,-0.249142,-0.007471377,0.1122785,0.6994182,-0.06752318,0.7026012,-0.4074118,-0.3370207,0.3549979,0.3441671,0.3887538,-0.5407264,-0.1985225,-0.4746518,0.01040256,0.3304485,-0.106388,-0.1014796,-0.3383295,-0.272728,-0.4638227,-0.4771899,0.1001781,-0.2790881,1
2017-28-4--15-10-38,5,-0.3915575,0.507442,0.8171409,-0.2776952,0.5071769,-0.9922972,-0.2240614,0.6787384,-0.06919318,-0.2388456,-0.1428221,0.004381311,0.9604871,-0.004972995,-0.9693881,-0.2453568,-0.007882613,0.1020821,0.698869,-0.05741944,0.7055951,-0.4065866,-0.3343651,0.3552761,0.3425071,0.3886253,-0.5406537,-0.1994937,-0.4739715,0.009552002,0.3304076,-0.1064345,-0.1018594,-0.3393712,-0.27307,-0.4643042,-0.4774957,0.1000034,-0.2792565,1
2017-28-4--15-10-38,5,-0.3891383,0.5108488,0.8159029,-0.2735141,0.5070143,-0.9921573,-0.2270812,0.6806656,-0.07039267,-0.2440979,-0.1362855,0.004331746,0.9601166,-0.002511644,-0.9692965,-0.2456388,-0.01093337,0.09679865,0.7001601,-0.05258494,0.7054366,-0.4077166,-0.3324639,0.3550088,0.3417015,0.3885168,-0.5406527,-0.1995161,-0.4754342,0.00979054,0.3296218,-0.1063763,-0.1018937,-0.339366,-0.2731064,-0.4646207,-0.4775615,0.09954499,-0.2796315,1
2017-28-4--15-10-39,5,-0.3925521,0.5094841,0.8150545,-0.2732458,0.5040516,-0.9932059,-0.2304032,0.6825225,-0.07153838,-0.2435025,-0.1418827,0.003342638,0.9594606,0.0005003442,-0.969739,-0.2439145,-0.01056771,0.09056713,0.7009569,-0.04665881,0.7058896,-0.407464,-0.3320458,0.3543898,0.3402362,0.3875646,-0.5414059,-0.1988351,-0.4752044,0.01010919,0.3277755,-0.1063007,-0.1027112,-0.3392074,-0.2731309,-0.4645528,-0.477941,0.0996286,-0.279157,1
2017-28-4--15-10-39,5,-0.3927194,0.5096838,0.8147717,-0.2734565,0.5020909,-0.9935837,-0.2325705,0.6831516,-0.07157285,-0.2446173,-0.1403362,0.001787807,0.9594086,0.001779311,-0.9701154,-0.2423799,-0.01118155,0.08777456,0.7007375,-0.04359624,0.7066554,-0.4082894,-0.3319607,0.353935,0.3390574,0.3872832,-0.541674,-0.198152,-0.4776058,0.01038969,0.3262682,-0.1063062,-0.102878,-0.3379224,-0.2724693,-0.4647496,-0.4783773,0.09969097,-0.2791191,1
2017-28-4--15-10-39,5,-0.3916953,0.5088701,0.8152125,-0.2727189,0.5011082,-0.99321,-0.2332855,0.6828463,-0.07144669,-0.2450686,-0.1380901,-0.002539486,0.9596176,0.001980512,-0.9702516,-0.2417849,-0.01216886,0.08780395,0.7020077,-0.04388164,0.7053723,-0.4087248,-0.3321518,0.3533211,0.3385336,0.3875948,-0.5412066,-0.1995408,-0.4770775,0.01051819,0.3258185,-0.1060081,-0.1027135,-0.338621,-0.2726542,-0.4649481,-0.4783806,0.0998137,-0.2791552,1
2017-28-4--15-10-39,5,-0.3900694,0.5085577,0.8156576,-0.271869,0.5018163,-0.9928404,-0.2328196,0.6823355,-0.070489,-0.2443654,-0.1362922,-0.001541914,0.9600561,0.001909907,-0.9702739,-0.2416334,-0.01335531,0.08992489,0.7003508,-0.04444348,0.7067159,-0.4082578,-0.3318288,0.3528578,0.338779,0.3879995,-0.5409265,-0.1988855,-0.4760452,0.01018107,0.3252649,-0.1055888,-0.1025393,-0.3385428,-0.2723413,-0.4653543,-0.4783604,0.1000109,-0.2788023,1
