DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,FrontX,BackX,FrontY,BackY,FrontZ,BackZ,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,Scale
2017-28-4--12-12-14,5,0.4987612,0.01612413,-0.2022143,0.3835064,0.08547771,0.1007564,0.5316556,0.5515267,-0.06787606,0.1094995,-0.7992765,0.08817606,0.5842875,-0.0141665,-0.8751782,0.09020889,0.4751052,0.2178705,-0.7045011,0.4767893,0.4784169,0.9121505,0.7326546,0.1461962,0.1703888,-0.1799221,0.2795202,0.5474878,0.8284813,0.1179594,0.4097563,-0.002747052,0.0009647553,0.7443162,0.7477422,-0.4741176,-0.4640858,-0.02456934,0.1888374,1
2017-28-4--12-12-14,5,0.4943104,0.03100407,-0.2018672,0.3799793,0.07767582,0.1147906,0.5263731,0.571557,-0.03318791,0.1200859,-0.7939807,0.07344765,0.5914217,-0.00594637,-0.8691747,0.08765712,0.4866377,0.2364289,-0.6930323,0.429074,0.5288697,0.9113641,0.7388881,0.1612822,0.1598226,-0.1829321,0.2841309,0.5547581,0.8273463,0.115849,0.4127433,-0.005251128,0.01147322,0.7442934,0.7545844,-0.4732338,-0.4649659,-0.02650552,0.1873808,1
2017-28-4--12-12-14,5,0.46587,0.04730034,-0.1907767,0.3519291,0.09803474,0.1528381,0.5397046,0.6284826,0.01417226,0.08030321,-0.7937397,0.06261331,0.5996736,-0.03022955,-0.8303446,0.06439278,0.5526912,0.159414,-0.6414716,0.2880783,0.6929014,0.8985894,0.7484647,0.15038,0.1478716,-0.1818994,0.281053,0.5528184,0.8423098,0.1181855,0.4004145,-0.002055401,0.014389,0.7489503,0.7548808,-0.4739168,-0.4653676,-0.02408388,0.1889497,1
2017-28-4--12-12-15,5,0.4290094,0.06045115,-0.1640105,0.3331558,0.1292332,0.2036564,0.5774412,0.676959,0.04824206,0.04013466,-0.7676782,0.05210839,0.6374513,-0.05023316,-0.7715065,0.02247337,0.633837,0.06504046,-0.5649143,0.1299333,0.8122554,0.874922,0.7616014,0.134317,0.1364752,-0.193449,0.2700945,0.5483354,0.8523698,0.1206791,0.3874372,0.005873017,0.001097345,0.7479231,0.7541115,-0.4758173,-0.4651482,-0.02066058,0.1918894,1
2017-28-4--12-12-15,5,0.397489,0.06819594,-0.1440599,0.3383564,0.1367075,0.246427,0.6275473,0.7208751,0.05199847,0.03614328,-0.7373669,0.04175255,0.6732314,-0.04398406,-0.7168325,-0.004996479,0.6958388,-0.0980744,-0.5267348,-0.04415122,0.8431978,0.8492712,0.7824636,0.1315495,0.127906,-0.2122007,0.2539851,0.5435219,0.8531671,0.1209761,0.3817726,0.01249351,-0.01591757,0.7469913,0.7591993,-0.477407,-0.4655663,-0.01839219,0.1923409,1
2017-28-4--12-12-15,5,0.3677887,0.08429503,-0.1284965,0.3287677,0.1801142,0.2863974,0.6621541,0.7331964,0.04436124,0.02409782,-0.7155504,0.02078623,0.6978359,-0.08431376,-0.6804794,-0.03830362,0.7268919,-0.1783363,-0.5042455,-0.1233909,0.8358872,0.8226769,0.7797225,0.1258458,0.1263437,-0.2268793,0.2565007,0.5402236,0.851981,0.1240509,0.3780035,0.01656006,-0.03012952,0.7476141,0.7596544,-0.4788802,-0.4652449,-0.01611831,0.1932174,1
2017-28-4--12-12-15,5,0.3395371,0.08074558,-0.09745318,0.3382393,0.237564,0.322102,0.6964741,0.7432641,0.03606547,0.02411043,-0.6863722,0.04238157,0.7256141,-0.1355033,-0.6377505,-0.06862485,0.7551184,-0.2803265,-0.3754292,-0.1937251,0.86194,0.7920486,0.784178,0.1295296,0.1332345,-0.2364614,0.2507137,0.5385966,0.8392053,0.1285757,0.3819218,0.02824967,-0.0503643,0.74993,0.7592629,-0.4802842,-0.4644558,-0.01367661,0.1946822,1
2017-28-4--12-12-15,5,0.3007666,0.09822369,-0.03507983,0.3852313,0.3593371,0.3990498,0.7094753,0.7412716,0.01425983,0.002552303,-0.6104763,0.02268697,0.7917054,-0.2600513,-0.5302269,-0.1217132,0.7977585,-0.327004,-0.2620664,-0.1931237,0.8871825,0.7303551,0.8010559,0.1210588,0.148141,-0.2589291,0.2510571,0.53634,0.8259478,0.1331439,0.3788574,0.04583943,-0.08606638,0.7502248,0.7647022,-0.4823842,-0.46322,-0.004172198,0.1981327,1
2017-28-4--12-12-16,5,0.2811484,0.1143398,0.01896286,0.4510899,0.4121013,0.4440497,0.6945456,0.7350754,0.0010389,-0.02616497,-0.548661,0.01028648,0.8355721,-0.3166025,-0.436394,-0.140055,0.8304864,-0.3142496,-0.2273128,-0.1493719,0.9095406,0.6789691,0.8229876,0.1101544,0.1635591,-0.2647729,0.2433696,0.5410623,0.8122033,0.1354209,0.3775153,0.05738809,-0.1153833,0.7351231,0.7609516,-0.4844724,-0.4610257,0.005119421,0.2013534,1
2017-28-4--12-12-16,5,0.2938575,0.1248293,0.02197927,0.4631724,0.3660059,0.4305696,0.6352667,0.706364,0.02385152,-0.06547903,-0.5248637,0.02671488,0.8482435,-0.2726503,-0.4454541,-0.1181657,0.8445527,-0.07762937,-0.3367184,0.02491727,0.938069,0.6736316,0.8528402,0.1031525,0.156743,-0.2732849,0.2139576,0.5424311,0.8154816,0.1368117,0.3684053,0.0522446,-0.1321344,0.7353443,0.7681206,-0.4847766,-0.4606498,0.003561631,0.19828,1
